Seq_number,Seq_number_2,Temp. Field Bottle ID,Sample_date,LabID,Sample_ID,Month,New_name,Site_code,Site,Bio_rep,Depth_code,Depth,Tech_rep,PCR_Cycles,Index Cycles,Project,Sample_Control,Control_Type,Date_Sampled,River
Kenai.seqrun1.113.S113.L001,c19_fishcard_Kenai.seqrun1.113.S113.L001,"2, 2B",12/28/20,52386_041,Kenai_seqrun1_113,Dec,Bridge_5m_Dec_2_3,2,Bridge,2,B,5m,3,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.114.S114.L001,c19_fishcard_Kenai.seqrun1.114.S114.L001,"2, 3B",12/28/20,52386_042,Kenai_seqrun1_114,Dec,Bridge_5m_Dec_3_3,2,Bridge,3,B,5m,3,39,8,Kenai,Sample,NA,28-Dec,Kenai
Kenai.seqrun1.115.S115.L001,c19_fishcard_Kenai.seqrun1.115.S115.L001,Coastal_Even_e5_01,NA,NA,Kenai_seqrun1_115,NA,Coastal_Even_e5_01,NA,NA,1,NA,5m,1,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.116.S116.L001,c19_fishcard_Kenai.seqrun1.116.S116.L001,Coastal_Even_e5_02,NA,NA,Kenai_seqrun1_116,NA,Coastal_Even_e5_02,NA,NA,2,NA,5m,2,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.117.S117.L001,c19_fishcard_Kenai.seqrun1.117.S117.L001,Coastal_Even_e5_03,NA,NA,Kenai_seqrun1_117,NA,Coastal_Even_e5_03,NA,NA,3,NA,5m,3,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.118.S118.L001,c19_fishcard_Kenai.seqrun1.118.S118.L001,Coastal_Even_e4_01,NA,NA,Kenai_seqrun1_118,NA,Coastal_Even_e4_01,NA,NA,1,NA,4m,1,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.119.S119.L001,c19_fishcard_Kenai.seqrun1.119.S119.L001,Coastal_Even_e4_02,NA,NA,Kenai_seqrun1_119,NA,Coastal_Even_e4_02,NA,NA,2,NA,4m,2,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.120.S120.L001,c19_fishcard_Kenai.seqrun1.120.S120.L001,Coastal_Even_e4_03,NA,NA,Kenai_seqrun1_120,NA,Coastal_Even_e4_03,NA,NA,3,NA,4m,3,39,8,Mock,NA,NA,NA,NA
Kenai.seqrun1.121.S121.L001,c19_fishcard_Kenai.seqrun1.121.S121.L001,Neg_plate_3,NA,52386_003,Kenai_seqrun1_121,NA,Neg_plate_3,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
Kenai.seqrun1.122.S122.L001,c19_fishcard_Kenai.seqrun1.122.S122.L001,Neg_plate_7,NA,52386_007,Kenai_seqrun1_122,NA,Neg_plate_7,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
Kenai.seqrun1.123.S123.L001,c19_fishcard_Kenai.seqrun1.123.S123.L001,Neg_plate_14,NA,52386_014,Kenai_seqrun1_123,NA,Neg_plate_14,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
Kenai.seqrun1.124.S124.L001,c19_fishcard_Kenai.seqrun1.124.S124.L001,Neg_plate_14,NA,52386_016,Kenai_seqrun1_124,NA,Neg_plate_14,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
Kenai.seqrun1.125.S125.L001,c19_fishcard_Kenai.seqrun1.125.S125.L001,Neg_plate_21,NA,52386_021,Kenai_seqrun1_125,NA,Neg_plate_21,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
Kenai.seqrun1.126.S126.L001,c19_fishcard_Kenai.seqrun1.126.S126.L001,Neg_plate_25,NA,52386_025,Kenai_seqrun1_126,NA,Neg_plate_25,NA,NA,NA,NA,NA,NA,39,8,NA,Control,Neg,NA,NA
